,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
sazonov,93203.6  +- 35433.3 ,86.8  +- 6.5 ,82.3  +- 7.4 ,87.8  +- 13.0 ,69.1  +- 15.7 ,79914.3  +- 21591.3 ,75.5  +- 13.7 ,68.0  +- 14.3 ,68.6  +- 14.2 ,60.2  +- 16.3 ,70.8  +- 12.7 ,52.0  +- 21.7 ,71.4  +- 10.5 ,80.5  +- 26.9 ,33.0  +- 8.7 ,84.6  +- 28.7 ,33.0  +- 8.7 ,85.2  +- 9.3 ,90.2  +- 10.3 ,80.2  +- 27.1 ,95.9  +- 7.0 ,38.7  +- 14.9 ,90.0  +- 12.7 ,6188 +- 10327,4259 +- 5637
tl_sazonov,55511.8  +- 49274.1 ,86.4  +- 8.5 ,83.1  +- 8.9 ,76.7  +- 17.2 ,66.6  +- 15.3 ,100295.0  +- 26021.1 ,90.9  +- 13.0 ,86.0  +- 15.4 ,94.7  +- 11.6 ,76.2  +- 19.7 ,75.6  +- 13.2 ,66.1  +- 26.8 ,88.8  +- 10.5 ,48.0  +- 43.6 ,41.5  +- 10.7 ,49.3  +- 46.5 ,41.5  +- 10.7 ,79.7  +- 11.9 ,84.1  +- 11.4 ,54.5  +- 44.3 ,88.4  +- 19.4 ,23.4  +- 20.8 ,93.2  +- 9.1 ,17868 +- 16365,5995 +- 6120
resc_sazonov,42538.8  +- 35177.8 ,87.9  +- 5.8 ,82.0  +- 7.5 ,77.4  +- 14.6 ,81.1  +- 18.8 ,46244.6  +- 21388.4 ,51.4  +- 20.5 ,44.4  +- 19.7 ,72.1  +- 20.3 ,37.6  +- 17.7 ,60.4  +- 19.0 ,32.6  +- 19.7 ,44.9  +- 16.6 ,50.9  +- 35.6 ,19.1  +- 8.8 ,43.7  +- 36.2 ,19.1  +- 8.8 ,94.8  +- 6.5 ,84.7  +- 9.9 ,87.1  +- 30.2 ,98.6  +- 9.3 ,17.8  +- 14.9 ,98.3  +- 5.4 ,12775 +- 11377,5104 +- 5979
resc_tl_sazonov,58500.8  +- 41430.5 ,89.2  +- 7.0 ,85.7  +- 8.0 ,81.1  +- 15.8 ,73.0  +- 15.8 ,84224.2  +- 25548.4 ,83.9  +- 17.3 ,77.7  +- 19.5 ,94.6  +- 10.4 ,67.3  +- 21.6 ,76.5  +- 14.8 ,58.3  +- 27.3 ,79.5  +- 14.6 ,59.7  +- 39.0 ,34.9  +- 10.7 ,57.2  +- 41.2 ,34.9  +- 10.7 ,86.2  +- 10.1 ,86.9  +- 10.8 ,76.1  +- 37.2 ,98.7  +- 2.9 ,24.6  +- 17.7 ,95.8  +- 7.9 ,12583 +- 14071,4352 +- 4894
tl_resc_sazonov,58400.8  +- 50031.7 ,84.7  +- 9.1 ,81.3  +- 9.2 ,76.6  +- 17.0 ,63.9  +- 14.9 ,104840.2  +- 26555.0 ,91.0  +- 12.3 ,87.4  +- 14.4 ,95.4  +- 10.3 ,77.6  +- 19.1 ,73.9  +- 13.0 ,67.8  +- 26.4 ,89.0  +- 10.1 ,48.8  +- 43.1 ,43.4  +- 10.9 ,50.7  +- 46.4 ,43.4  +- 10.9 ,77.1  +- 12.5 ,83.9  +- 11.3 ,53.6  +- 43.4 ,83.2  +- 23.0 ,24.5  +- 21.0 ,92.2  +- 9.4 ,17650 +- 16130,6156 +- 6126
sazonov_max,166.9  +- 3180.7 ,82.2  +- 5.5 ,70.1  +- 7.5 ,61.7  +- 8.4 ,0.0  +- 0.0 ,166.9  +- 3180.7 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.3  +- 5.3 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.1  +- 1.5 ,0.0  +- 0.0 ,0.1  +- 1.5 ,99.9  +- 2.3 ,76.0  +- 6.8 ,0.0  +- 0.0 ,0.3  +- 5.2 ,0.1  +- 1.5 ,99.9  +- 2.5 ,33788 +- 6601,12784 +- 6279
tl_sazonov_max,412.9  +- 7867.7 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 3.9 ,412.9  +- 7867.7 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 4.9 ,0.2  +- 4.6 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.2 ,76.1  +- 6.7 ,0.2  +- 4.1 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.0 ,33720 +- 6813,12687 +- 6193
resc_tl_sazonov_max,401.9  +- 7657.8 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,401.9  +- 7657.8 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.2  +- 4.6 ,0.3  +- 5.1 ,0.3  +- 4.9 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.0 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.9 ,33719 +- 6820,12685 +- 6194
sazonov2,79949.9  +- 38899.4 ,87.3  +- 6.1 ,82.4  +- 7.0 ,86.8  +- 14.2 ,72.7  +- 16.3 ,67131.1  +- 20525.0 ,66.9  +- 15.2 ,59.3  +- 15.3 ,64.5  +- 16.4 ,52.2  +- 15.9 ,68.2  +- 13.5 ,44.7  +- 20.3 ,62.4  +- 11.7 ,75.0  +- 33.2 ,27.8  +- 8.3 ,75.7  +- 35.4 ,27.8  +- 8.3 ,89.0  +- 8.3 ,90.1  +- 10.2 ,80.4  +- 31.0 ,97.1  +- 6.4 ,33.2  +- 16.3 ,93.5  +- 9.9 ,7472 +- 11616,3990 +- 4998
tl_sazonov2,54480.4  +- 45626.0 ,87.6  +- 7.3 ,83.9  +- 8.1 ,78.0  +- 16.9 ,69.5  +- 15.7 ,87406.6  +- 25157.9 ,83.1  +- 16.4 ,77.4  +- 17.8 ,91.5  +- 13.3 ,68.3  +- 20.1 ,74.3  +- 14.3 ,58.8  +- 26.0 ,80.3  +- 13.2 ,51.3  +- 42.4 ,36.2  +- 10.5 ,50.8  +- 44.5 ,36.2  +- 10.5 ,84.0  +- 10.4 ,84.9  +- 11.4 ,61.7  +- 43.4 ,92.8  +- 15.5 ,23.1  +- 19.5 ,94.6  +- 8.7 ,16602 +- 15786,5170 +- 5689
